Month,Total Customers,Monthly Revenue,Churn Rate,Immediate Repurchase,Loyal Customer,Occasional Buyer,Discount Buyer,No Repurchase
0,10000,694270.8333333334,0.0,2500,2500,2500,2500,0
1,10800,603269.7916666666,11.25,1285,2325,2240,3825,1125
2,11601,562373.3333333333,10.69767441860465,1080,1938,2155,4268,2160
3,12401,542310.2083333334,10.221374854358649,1009,1761,2098,4408,3125
4,13199,532237.7083333334,9.777921517895646,982,1685,2065,4435,4032
5,13998,527735.4166666666,9.370568342969346,974,1656,2049,4428,4891
6,14798,526718.5416666666,8.982101680026354,976,1649,2045,4419,5709
7,15599,528185.2083333333,8.61480910991308,983,1655,2050,4419,6492
8,16400,531404.5833333334,8.279345558361701,993,1668,2061,4432,7246
9,17200,536029.375,7.963731701988203,1006,1685,2078,4456,7975
10,17999,541801.6666666666,7.663956639566395,1020,1706,2099,4492,8682
11,18798,548572.7083333334,7.395084254588387,1036,1729,2125,4537,9371
12,19597,556172.2916666666,7.1496764612283865,1053,1755,2153,4591,10045
